imdb_id,titulo,anio,genero,rating_imdb,plataformas,poster_url,budget,revenue
tt0143145,The World Is Not Enough,1999,"Action, Adventure, Thriller",6.4,No disponible en streaming,https://image.tmdb.org/t/p/w500/wCb2msgoZPK01WIqry24M4xsM73.jpg,135000000.0,361832400.0
tt1077368,Dark Shadows,2012,"Comedy, Fantasy, Horror",6.2,HBO Max,https://image.tmdb.org/t/p/w500/fd9Ck4cxVlmtXsbeGtQW7WFuUFI.jpg,150000000.0,245527149.0
tt0120623,A Bug's Life,1998,"Animation, Adventure, Comedy",7.2,Disney Plus,https://image.tmdb.org/t/p/w500/Ah3J9OJVc2CNCuH2zMydXy9fmIC.jpg,120000000.0,363258859.0
tt4881806,Jurassic World: Fallen Kingdom,2018,"Action, Adventure, Sci-Fi",6.1,HBO Max,https://image.tmdb.org/t/p/w500/x8cLgs0uXlb9rmpuVIxopoRGnCr.jpg,,
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",8.3,Disney Plus,https://image.tmdb.org/t/p/w500/jQYlydvHm3kUix1f8prMucrplhm.jpg,,
tt1515091,Sherlock Holmes: A Game of Shadows,2011,"Action, Adventure, Mystery",7.4,"Netflix, HBO Max",https://image.tmdb.org/t/p/w500/vskIKrMNUAhns05dx8WYBQfcJEs.jpg,125000000.0,334615000.0
tt1399103,Transformers: Dark of the Moon,2011,"Action, Adventure, Comedy",6.2,"Netflix, Paramount Plus, Claro video",https://image.tmdb.org/t/p/w500/28YlCLrFhONteYSs9hKjD1Km0Cj.jpg,195000000.0,1123746996.0
tt6565702,X-Men: Dark Phoenix,2019,"Action, Adventure, Sci-Fi",5.7,Disney Plus,https://image.tmdb.org/t/p/w500/cCTJPelKGLhALq3r51A9uMonxKj.jpg,,
tt1790885,Zero Dark Thirty,2012,"Drama, History, Thriller",7.4,No disponible en streaming,https://image.tmdb.org/t/p/w500/wNSdSSxowM3WIqmPJNg3RagYbwP.jpg,40000000.0,132820716.0
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,"Action, Adventure, Fantasy",7.6,Disney Plus,https://image.tmdb.org/t/p/w500/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg,113000000.0,850000000.0
tt0079470,Monty Python's Life of Brian,1979,Comedy,8.0,No disponible en streaming,https://image.tmdb.org/t/p/w500/lSSA64WF0M0BXnjwr2quMh6shCl.jpg,,
tt6450804,Terminator: Dark Fate,2019,"Action, Adventure, Sci-Fi",6.2,Disney Plus,https://image.tmdb.org/t/p/w500/vqzNJRH4YyquRiWxCCOH0aXggHI.jpg,,
tt0758752,Love & Other Drugs,2010,"Comedy, Drama, Romance",6.7,"Disney Plus, Netflix, Amazon Prime Video",https://image.tmdb.org/t/p/w500/wZLM2uKJRYNchLmiCIjosX0rXy8.jpg,30000000.0,102820008.0
tt2084970,The Imitation Game,2014,"Biography, Drama, Thriller",8.0,"HBO Max, DIRECTV GO",https://image.tmdb.org/t/p/w500/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg,14000000.0,233555708.0
tt0266987,Spy Game,2001,"Action, Crime, Thriller",7.1,No disponible en streaming,https://image.tmdb.org/t/p/w500/6y8M1rxjKofQCRKKe6xeV91K2Fc.jpg,92000000.0,143049560.0
tt0104691,The Last of the Mohicans,1992,"Action, Adventure, Drama",7.6,No disponible en streaming,https://image.tmdb.org/t/p/w500/qzJMPWRtZveBkxXOv3ucWhoJuyj.jpg,40000000.0,75505856.0
tt3915174,Puss in Boots: The Last Wish,2022,"Animation, Action, Adventure",7.8,No disponible en streaming,https://image.tmdb.org/t/p/w500/kuf6dutpsT0vSVehic3EZIqkOBt.jpg,,
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,"Action, Adventure, Fantasy",6.5,Disney Plus,https://image.tmdb.org/t/p/w500/6wkfovpn7Eq8dYNKaG5PY3q2oq6.jpg,115000000.0,924317558.0
tt0455590,The Last King of Scotland,2006,"Biography, Drama, History",7.6,Disney Plus,https://image.tmdb.org/t/p/w500/mTtgpH6UnHUtD8moRJUzfGLOZTj.jpg,6000000.0,48027970.0
tt10648342,Thor: Love and Thunder,2022,"Action, Adventure, Comedy",6.1,Disney Plus,https://image.tmdb.org/t/p/w500/pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg,,
tt0118929,Dark City,1998,"Fantasy, Mystery, Sci-Fi",7.6,No disponible en streaming,https://image.tmdb.org/t/p/w500/tNPEGju4DpTdbhBphNmZoEi9Bd3.jpg,27000000.0,27200316.0
tt3450958,War for the Planet of the Apes,2017,"Action, Adventure, Drama",7.4,Disney Plus,https://image.tmdb.org/t/p/w500/mMA1qhBFgZX8O36qPPTC016kQl1.jpg,152000000.0,369907963.0
tt0138097,Shakespeare in Love,1998,"Comedy, Drama, History",7.1,No disponible en streaming,https://image.tmdb.org/t/p/w500/zdW7jdzPi4J9KZR3TyY2jn3Xh5e.jpg,25000000.0,289317794.0
tt0369610,Jurassic World,2015,"Action, Adventure, Sci-Fi",6.9,Amazon Prime Video,https://image.tmdb.org/t/p/w500/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,150000000.0,1513528810.0
tt12747748,Leave the World Behind,2023,"Drama, Mystery, Thriller",6.4,Netflix,https://image.tmdb.org/t/p/w500/29rhl1xopxA7JlGVVsf1UHfYPvN.jpg,750000.0,
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"Comedy, War",8.3,No disponible en streaming,https://image.tmdb.org/t/p/w500/4UQJ60D2NRD9OPrTdjBHfpLl3c4.jpg,1800000.0,9440272.0
tt1731141,Ender's Game,2013,"Action, Adventure, Sci-Fi",6.6,Amazon Prime Video,https://image.tmdb.org/t/p/w500/wgDlp3CT8SyLKJ52oFxrQONcw86.jpg,110000000.0,125537191.0
tt1155056,"I Love You, Man",2009,"Comedy, Romance",7.0,No disponible en streaming,https://image.tmdb.org/t/p/w500/xr4zAYsvgTzvMMiWu6qCAP9WBer.jpg,41000000.0,91636986.0
