imdb_id,titulo,anio,genero,rating_imdb
tt0338459,Spy Kids 3: Game Over,2003,"Action, Adventure, Comedy",4.4
tt1981115,Thor: The Dark World,2013,"Action, Adventure, Fantasy",6.7
tt5109280,Raya and the Last Dragon,2021,"Animation, Action, Adventure",7.3
tt0138097,Shakespeare in Love,1998,"Comedy, Drama, History",7.1
tt0118694,In the Mood for Love,2000,"Drama, Romance",8.0
tt17279496,Civil War,2024,"Action, Thriller, War",7.0
tt0118799,Life Is Beautiful,1997,"Comedy, Drama, Romance",8.6
tt0314331,Love Actually,2003,"Comedy, Drama, Romance",7.5
tt0038650,It's a Wonderful Life,1946,"Drama, Family, Fantasy",8.6
tt0120623,A Bug's Life,1998,"Animation, Adventure, Comedy",7.2
tt0119567,The Lost World: Jurassic Park,1997,"Action, Adventure, Sci-Fi",6.6
tt0119174,The Game,1997,"Drama, Mystery, Thriller",7.7
tt0376994,X-Men: The Last Stand,2006,"Action, Adventure, Sci-Fi",6.6
tt0325710,The Last Samurai,2003,"Action, Drama",7.8
tt0104691,The Last of the Mohicans,1992,"Action, Adventure, Drama",7.6
tt1570728,"Crazy, Stupid, Love.",2011,"Comedy, Drama, Romance",7.4
tt0076759,Star Wars: Episode IV - A New Hope,1977,"Action, Adventure, Fantasy",8.6
tt9639470,Last Night in Soho,2021,"Drama, Horror, Mystery",7.0
tt4244994,The Last Duel,2021,"Drama, History, Thriller",7.3
tt9777666,The Tomorrow War,2021,"Action, Adventure, Drama",6.6
tt3748172,Gerald's Game,2017,"Drama, Horror, Thriller",6.5
tt2488496,Star Wars: Episode VII - The Force Awakens,2015,"Action, Adventure, Sci-Fi",7.7
tt0118929,Dark City,1998,"Fantasy, Mystery, Sci-Fi",7.6
tt10648342,Thor: Love and Thunder,2022,"Action, Adventure, Comedy",6.1
tt0454876,Life of Pi,2012,"Adventure, Drama, Fantasy",7.9
tt0359950,The Secret Life of Walter Mitty,2013,"Adventure, Comedy, Drama",7.3
tt0468569,The Dark Knight,2008,"Action, Crime, Drama",9.1
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",8.7
tt0362270,The Life Aquatic with Steve Zissou,2004,"Action, Adventure, Comedy",7.2
tt0369610,Jurassic World,2015,"Action, Adventure, Sci-Fi",6.9
tt0455590,The Last King of Scotland,2006,"Biography, Drama, History",7.6
tt2084970,The Imitation Game,2014,"Biography, Drama, Thriller",8.0
tt3748528,Rogue One: A Star Wars Story,2016,"Action, Adventure, Sci-Fi",7.8
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,"Action, Adventure, Fantasy",6.5
tt4881806,Jurassic World: Fallen Kingdom,2018,"Action, Adventure, Sci-Fi",6.1
tt2704998,Game Night,2018,"Action, Adventure, Comedy",6.9
tt1502397,Bad Boys for Life,2020,"Action, Comedy, Crime",6.5
tt1515091,Sherlock Holmes: A Game of Shadows,2011,"Action, Adventure, Mystery",7.4
tt0399295,Lord of War,2005,"Crime, Drama",7.6
tt1345836,The Dark Knight Rises,2012,"Action, Crime, Drama",8.4
tt0407304,War of the Worlds,2005,"Action, Adventure, Sci-Fi",6.6
tt4209788,Molly's Game,2017,"Biography, Crime, Drama",7.4
tt5442430,Life,2017,"Horror, Sci-Fi, Thriller",6.6
tt0272338,Punch-Drunk Love,2002,"Comedy, Drama, Romance",7.3
tt0121765,Star Wars: Episode II - Attack of the Clones,2002,"Action, Adventure, Fantasy",6.6
tt0266987,Spy Game,2001,"Action, Crime, Thriller",7.1
tt0143145,The World Is Not Enough,1999,"Action, Adventure, Thriller",6.4
tt0079470,Monty Python's Life of Brian,1979,Comedy,8.0
tt6450804,Terminator: Dark Fate,2019,"Action, Adventure, Sci-Fi",6.2
tt3498820,Captain America: Civil War,2016,"Action, Sci-Fi",7.8
tt12747748,Leave the World Behind,2023,"Drama, Mystery, Thriller",6.4
tt1731141,Ender's Game,2013,"Action, Adventure, Sci-Fi",6.6
tt0431308,P.S. I Love You,2007,"Comedy, Drama, Romance",7.0
tt2005151,War Dogs,2016,"Biography, Comedy, Crime",7.1
tt1399103,Transformers: Dark of the Moon,2011,"Action, Adventure, Comedy",6.2
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,"Action, Adventure, Fantasy",6.8
tt0492956,The Game Plan,2007,"Comedy, Family, Sport",6.4
tt1077368,Dark Shadows,2012,"Comedy, Fantasy, Horror",6.2
tt1648190,The Dark Tower,2017,"Action, Adventure, Drama",5.6
tt3450958,War for the Planet of the Apes,2017,"Action, Adventure, Drama",7.4
tt6565702,X-Men: Dark Phoenix,2019,"Action, Adventure, Sci-Fi",5.7
tt0446029,Scott Pilgrim vs. the World,2010,"Action, Comedy, Fantasy",7.5
tt0311113,Master and Commander: The Far Side of the World,2003,"Action, Adventure, Drama",7.5
tt0796366,Star Trek,2009,"Action, Adventure, Sci-Fi",7.9
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,"Action, Adventure, Fantasy",7.6
tt4154756,Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",8.4
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",8.3
tt3915174,Puss in Boots: The Last Wish,2022,"Animation, Action, Adventure",7.8
tt0816711,World War Z,2013,"Action, Adventure, Horror",7.0
tt2709768,The Secret Life of Pets,2016,"Animation, Adventure, Comedy",6.5
